PRODUCTO,MERCADO,PRECIO_MINIMO,PRECIO_PROMEDIO,PRECIO_MAXIMO,PENULTIMO_PRECIO,FECHA_PENULTIMO_PRECIO,ULTIMO_PRECIO,FECHA_ULTIMO_PRECIO,TENDENCIA,%_VARIACION,CATEGORIA,PRODUCTO_ID,CATEGORIA_ID,MERCADO_ID,TENDENCIA_ID
ACEITE_VEGETAL_COCINERO,AMBATO_EPEMA,1.87,1.87,1.87,,NAN,1.87,14/08/2024,NAN,,ACEITES,1,1,1,1
ACEITE_VEGETAL_COCINERO,CUENCA_3_DE_NOVIEMBRE,2.2,2.2,2.2,2.2,13/08/2024,2.2,20/08/2024,SE_MANTIENE,0.0,ACEITES,1,1,2,2
ACEITE_VEGETAL_COCINERO,IBARRA_BODEGAS,1.79,1.79,1.79,1.79,15/08/2024,1.79,19/08/2024,SE_MANTIENE,0.0,ACEITES,1,1,3,2
ACEITE_VEGETAL_COCINERO,LATACUNGA_BODEGAS,2.31,2.31,2.31,,NAN,2.31,16/08/2024,NAN,,ACEITES,1,1,4,1
ACEITE_VEGETAL_COCINERO,QUITO_MMQEP,2.16,2.16,2.16,2.16,16/08/2024,2.16,20/08/2024,SE_MANTIENE,0.0,ACEITES,1,1,5,2
ACEITE_VEGETAL_COCINERO,TULCAN_BODEGAS,2.11,2.11,2.11,,NAN,2.11,16/08/2024,NAN,,ACEITES,1,1,6,1
ACEITE_VEGETAL_FAVORITA,AMBATO_EPEMA,2.04,2.04,2.04,,NAN,2.04,14/08/2024,NAN,,ACEITES,2,1,1,1
ACEITE_VEGETAL_FAVORITA,CUENCA_3_DE_NOVIEMBRE,2.4,2.4,2.4,2.4,13/08/2024,2.4,20/08/2024,SE_MANTIENE,0.0,ACEITES,2,1,2,2
ACEITE_VEGETAL_FAVORITA,GUAYAQUIL_TTV,2.21,2.22,2.22,2.22,15/08/2024,2.21,20/08/2024,BAJO,-0.45,ACEITES,2,1,7,3
ACEITE_VEGETAL_FAVORITA,HUAQUILLAS,2.13,2.13,2.13,,NAN,2.13,15/08/2024,NAN,,ACEITES,2,1,8,1
ACEITE_VEGETAL_FAVORITA,IBARRA_BODEGAS,1.91,2.0,2.04,2.04,15/08/2024,2.04,19/08/2024,SE_MANTIENE,0.0,ACEITES,2,1,3,2
ACEITE_VEGETAL_FAVORITA,LATACUNGA_BODEGAS,1.94,1.94,1.94,,NAN,1.94,16/08/2024,NAN,,ACEITES,2,1,4,1
ACEITE_VEGETAL_FAVORITA,QUITO_MMQEP,2.21,2.21,2.21,2.21,16/08/2024,2.21,20/08/2024,SE_MANTIENE,0.0,ACEITES,2,1,5,2
ACEITE_VEGETAL_FAVORITA,RIOBAMBA_EPEMMPA,1.84,1.84,1.84,,NAN,1.84,15/08/2024,NAN,,ACEITES,2,1,9,1
ACEITE_VEGETAL_FAVORITA,TULCAN_BODEGAS,2.21,2.21,2.21,,NAN,2.21,16/08/2024,NAN,,ACEITES,2,1,6,1
ACEITE_VEGETAL_GIRASOL,AMBATO_EPEMA,2.68,2.68,2.68,,NAN,2.68,14/08/2024,NAN,,ACEITES,3,1,1,1
ACEITE_VEGETAL_GIRASOL,CUENCA_3_DE_NOVIEMBRE,2.9,2.9,2.9,2.9,13/08/2024,2.9,20/08/2024,SE_MANTIENE,0.0,ACEITES,3,1,2,2
ACEITE_VEGETAL_GIRASOL,GUAYAQUIL_TTV,2.81,2.82,2.82,2.81,15/08/2024,2.82,20/08/2024,SUBIO,0.35,ACEITES,3,1,7,4
ACEITE_VEGETAL_GIRASOL,HUAQUILLAS,2.88,2.88,2.88,,NAN,2.88,15/08/2024,NAN,,ACEITES,3,1,8,1
ACEITE_VEGETAL_GIRASOL,IBARRA_BODEGAS,2.67,2.67,2.67,2.67,15/08/2024,2.67,19/08/2024,SE_MANTIENE,0.0,ACEITES,3,1,3,2
